,Country name,Regional indicator,Score Y20,GDP Y20,Social support Y20,Life expectancy Y20,Freedom Y20,Generosity Y20,Corruption Y20,Score Y19,GDP Y19,Social support Y19,Life expectancy Y19,Freedom Y19,Generosity Y19,Corruption Y19,Score Y18,GDP Y18,Social support Y18,Life expectancy Y18,Freedom Y18,Generosity Y18,Corruption Y18,Score Y17,GDP Y17,Life Expectancy Y17,Freedom Y17,Generosity Y17,Corruption Y17,Score Y16,GDP Y16,Life Expectancy Y16,Freedom Y16,Corruption Y16,Generosity Y16,Score Y15,GDP Y15,Life Expectancy Y15,Freedom Y15,Corruption Y15,Generosity Y15
10,Canada,North America and ANZ,7.23210001,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.124770768,0.390843362,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,7.404,1.44015,0.8276,0.5737,0.31329,0.44833999999999996,7.404,1.44015,0.8276,0.5737,0.31329,0.44833999999999996
11,Australia,North America and ANZ,7.222799778,10.72059631,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516912,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,7.28399991989136,1.4844149351120002,0.84388679265976,0.601607382297516,0.47769924998283403,0.301183730363846,7.313,1.4444299999999999,0.8512,0.5683699999999999,0.32331,0.47407,7.313,1.4444299999999999,0.8512,0.5683699999999999,0.32331,0.47407
12,United Kingdom,Western Europe,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.43591591700000004,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,6.725,1.40283,0.80991,0.50036,0.27399,0.50156
13,Israel,Middle East and North Africa,7.128600121,10.41752529,0.913571239,73.20025635,0.7475805879999999,0.10259372,0.78085506,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,7.212999820709231,1.3753824234008798,0.83840399980545,0.40598860383033797,0.330082654953003,0.0852421000599861,7.267,1.33766,0.8491700000000001,0.36432,0.08728,0.32288,7.267,1.33766,0.8491700000000001,0.36432,0.08728,0.32288
14,Costa Rica,Latin America and Caribbean,7.121399879,9.658156395,0.901545942,71.29985046,0.9347389340000001,-0.10242971,0.7863324279999999,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,7.0789999961853,1.10970628261566,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,7.087000000000001,1.06879,0.76146,0.55225,0.10547000000000001,0.22553,7.087000000000001,1.06879,0.76146,0.55225,0.10547000000000001,0.22553
15,Ireland,Western Europe,7.093699932000001,11.16097832,0.9420815709999999,72.30078888,0.8869829770000001,0.145784974,0.357184172,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,6.9770002365112305,1.5357066392898602,0.8097826242446899,0.5731103420257571,0.42785832285881,0.29838815331459007,6.907,1.4834100000000001,0.81455,0.54008,0.29754,0.44963000000000003,6.907,1.4834100000000001,0.81455,0.54008,0.29754,0.44963000000000003
16,Germany,Western Europe,7.075799942000001,10.7328186,0.898874462,72.20201874,0.867371082,0.08017938599999999,0.456422031,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,6.965,1.34,1.474,0.861,0.586,0.273,0.28,6.9510002136230495,1.48792338371277,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703,6.994,1.44787,0.81487,0.53466,0.28551,0.30451999999999996,6.994,1.44787,0.81487,0.53466,0.28551,0.30451999999999996
17,United States,North America and ANZ,6.939599991000001,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.6997153159999999,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133,6.993000030517581,1.54625928401947,0.7742866277694699,0.505740523338318,0.392578780651093,0.135638788342476,7.104,1.50796,0.779,0.48163,0.14868,0.41076999999999997,7.104,1.50796,0.779,0.48163,0.14868,0.41076999999999997
18,Czech Republic,Central and Eastern Europe,6.9109001160000005,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,6.60900020599365,1.35268235206604,0.754444003105164,0.49094617366790794,0.0881067588925362,0.0368729270994663,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,6.596,1.30915,0.76376,0.41418,0.03986,0.09929
19,Belgium,Western Europe,6.863500117999999,10.673639300000001,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24,6.89099979400635,1.4637807607650801,0.8180918693542479,0.5397707223892211,0.23150333762168898,0.251343131065369,6.928999999999999,1.42539,0.8195899999999999,0.51354,0.26248,0.2424,6.928999999999999,1.42539,0.8195899999999999,0.51354,0.26248,0.2424
